Floradrop,Banne Buiksloot,Volewijck,plan van gooi
"52.39684895670787, 4.914040873234153","52.399831069669226, 4.92175881662105","52.396569903345714, 4.914194427250595","52.39920090221071, 4.933504993221789"
"52.399244952669925, 4.919233629744255","52.40576460415515, 4.9246868965722514","52.398274217852745, 4.916907753798084","52.39593038401647, 4.942030628601425"
"52.401274246395836, 4.911251375935339","52.41078302817057, 4.928521286783788","52.39503686828086, 4.917792954511432","52.395459015423, 4.941622932854255"
,"52.41504611362458, 4.919911337854728","52.39078118876081, 4.9162480021613195","52.394254383921016, 4.936558922520988"
,"52.4045205419882, 4.906630404187702","52.392208523933874, 4.912707486358977","52.39668980060468, 4.9304649439843455"
,,"52.39713182130955, 4.910475888519926",
,,"52.398716063493474, 4.907235780118995",
,,"52.399724188028266, 4.908115544654058",
,,"52.39995985017515, 4.910518803865345",
,,"52.39642478581222, 4.913887658295451",